Date,Fuel Type,Value,Type
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-12-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
2022-11-01,WND,0.0,production
